Algorithm,Processors,Size(bytes),Avg_Latency(us)
0,2,1,38.41
0,2,2,0.66
0,2,4,0.58
0,2,8,0.65
0,2,16,0.58
0,2,32,2.81
0,2,64,0.56
0,2,128,7.23
0,2,256,23.01
0,2,512,6.92
0,2,1024,6.77
0,2,2048,6.95
0,2,4096,20.15
0,2,8192,38.35
0,2,16384,62.56
0,2,32768,23.82
0,2,65536,16.44
0,2,131072,25.37
0,2,262144,45.99
0,2,524288,90.09
0,2,1048576,163.55
0,4,1,12.17
0,4,2,0.81
0,4,4,0.97
0,4,8,0.95
0,4,16,0.79
0,4,32,0.85
0,4,64,1.24
0,4,128,14.01
0,4,256,35.84
0,4,512,13.21
0,4,1024,25.90
0,4,2048,26.62
0,4,4096,46.36
0,4,8192,57.49
0,4,16384,74.30
0,4,32768,30.89
0,4,65536,45.24
0,4,131072,72.30
0,4,262144,133.93
0,4,524288,263.95
0,4,1048576,565.09
0,8,1,4.64
0,8,2,1.48
0,8,4,4.96
0,8,8,1.95
0,8,16,1.62
0,8,32,2.07
0,8,64,1.59
0,8,128,22.62
0,8,256,22.08
0,8,512,21.90
0,8,1024,31.79
0,8,2048,41.94
0,8,4096,65.48
0,8,8192,100.31
0,8,16384,35.12
0,8,32768,40.80
0,8,65536,67.34
0,8,131072,117.78
0,8,262144,248.68
0,8,524288,488.43
0,8,1048576,978.29
0,12,1,111.54
0,12,2,5.05
0,12,4,9.27
0,12,8,8.33
0,12,16,6.58
0,12,32,4.68
0,12,64,3.75
0,12,128,39.77
0,12,256,55.90
0,12,512,40.16
0,12,1024,37.35
0,12,2048,60.79
0,12,4096,89.41
0,12,8192,136.99
0,12,16384,41.78
0,12,32768,73.85
0,12,65536,99.23
0,12,131072,223.16
0,12,262144,383.51
0,12,524288,748.95
0,12,1048576,1386.70
0,16,1,103.29
0,16,2,2.55
0,16,4,11.58
0,16,8,7.88
0,16,16,1.25
0,16,32,1.16
0,16,64,2.36
0,16,128,36.74
0,16,256,25.90
0,16,512,40.34
0,16,1024,32.99
0,16,2048,77.83
0,16,4096,82.53
0,16,8192,119.60
0,16,16384,46.42
0,16,32768,64.01
0,16,65536,108.56
0,16,131072,198.01
0,16,262144,383.75
0,16,524288,757.30
0,16,1048576,1734.76
0,24,1,117.55
0,24,2,19.65
0,24,4,5.93
0,24,8,6.25
0,24,16,10.88
0,24,32,6.79
0,24,64,865.90
0,24,128,953.67
0,24,256,1512.56
0,24,512,39.24
0,24,1024,59.39
0,24,2048,68.01
0,24,4096,110.06
0,24,8192,129.50
0,24,16384,55.15
0,24,32768,92.85
0,24,65536,145.94
0,24,131072,282.68
0,24,262144,536.68
0,24,524288,1462.98
0,24,1048576,7466.69
0,48,1,10322.50
0,48,2,33.28
0,48,4,5.67
0,48,8,8.34
0,48,16,20.15
0,48,32,8.76
0,48,64,11.41
0,48,128,38.82
0,48,256,34.91
0,48,512,46.48
0,48,1024,50.00
0,48,2048,45.39
0,48,4096,83.71
0,48,8192,128.76
0,48,16384,44.31
0,48,32768,75.13
0,48,65536,118.51
0,48,131072,243.09
0,48,262144,410.74
0,48,524288,773.60
0,48,1048576,1495.00
1,2,1,1417.55
1,2,2,0.52
1,2,4,0.50
1,2,8,0.48
1,2,16,0.59
1,2,32,0.59
1,2,64,0.63
1,2,128,7.20
1,2,256,22.53
1,2,512,6.43
1,2,1024,6.77
1,2,2048,7.18
1,2,4096,31.52
1,2,8192,26.96
1,2,16384,51.92
1,2,32768,24.56
1,2,65536,17.95
1,2,131072,27.01
1,2,262144,45.10
1,2,524288,88.62
1,2,1048576,190.73
1,4,1,1.67
1,4,2,0.63
1,4,4,0.58
1,4,8,0.53
1,4,16,0.55
1,4,32,0.57
1,4,64,0.79
1,4,128,14.98
1,4,256,30.94
1,4,512,14.43
1,4,1024,25.25
1,4,2048,87.26
1,4,4096,49.68
1,4,8192,56.94
1,4,16384,42.47
1,4,32768,30.62
1,4,65536,44.64
1,4,131072,64.69
1,4,262144,115.60
1,4,524288,268.15
1,4,1048576,541.35
1,8,1,2.51
1,8,2,1.93
1,8,4,8.12
1,8,8,1.97
1,8,16,1.26
1,8,32,1.96
1,8,64,2.09
1,8,128,26.33
1,8,256,28.60
1,8,512,32.36
1,8,1024,58.61
1,8,2048,60.01
1,8,4096,78.69
1,8,8192,162.29
1,8,16384,46.21
1,8,32768,40.62
1,8,65536,63.13
1,8,131072,121.66
1,8,262144,240.25
1,8,524288,544.02
1,8,1048576,882.38
1,12,1,167.00
1,12,2,7.08
1,12,4,13.31
1,12,8,5.03
1,12,16,7.07
1,12,32,5.33
1,12,64,5.19
1,12,128,42.09
1,12,256,73.42
1,12,512,86.37
1,12,1024,84.18
1,12,2048,97.34
1,12,4096,123.69
1,12,8192,165.67
1,12,16384,82.97
1,12,32768,51.84
1,12,65536,101.96
1,12,131072,212.03
1,12,262144,384.47
1,12,524288,747.68
1,12,1048576,1479.80
1,16,1,8.06
1,16,2,2.85
1,16,4,26.89
1,16,8,16.68
1,16,16,1.51
1,16,32,1.12
1,16,64,3.54
1,16,128,58.46
1,16,256,65.98
1,16,512,77.02
1,16,1024,57.99
1,16,2048,188.21
1,16,4096,146.60
1,16,8192,204.80
1,16,16384,52.36
1,16,32768,67.72
1,16,65536,155.27
1,16,131072,267.18
1,16,262144,574.46
1,16,524288,1230.80
1,16,1048576,2032.12
1,24,1,124.34
1,24,2,30.30
1,24,4,15.66
1,24,8,6.38
1,24,16,11.86
1,24,32,9.21
1,24,64,19.76
1,24,128,85.51
1,24,256,109.97
1,24,512,85.36
1,24,1024,125.43
1,24,2048,153.12
1,24,4096,234.37
1,24,8192,363.90
1,24,16384,69.73
1,24,32768,111.83
1,24,65536,204.01
1,24,131072,387.99
1,24,262144,797.52
1,24,524288,1569.95
1,24,1048576,2548.80
1,48,1,65.15
1,48,2,12.37
1,48,4,34.11
1,48,8,38.11
1,48,16,20.49
1,48,32,11.39
1,48,64,22.61
1,48,128,132.31
1,48,256,122.51
1,48,512,180.13
1,48,1024,184.43
1,48,2048,392.26
1,48,4096,348.45
1,48,8192,498.14
1,48,16384,53.82
1,48,32768,97.81
1,48,65536,185.77
1,48,131072,351.85
1,48,262144,695.53
1,48,524288,1621.41
1,48,1048576,2637.79
2,2,1,8.47
2,2,2,0.55
2,2,4,0.68
2,2,8,0.54
2,2,16,0.51
2,2,32,0.75
2,2,64,0.68
2,2,128,7.23
2,2,256,22.79
2,2,512,6.75
2,2,1024,7.35
2,2,2048,6.97
2,2,4096,20.19
2,2,8192,27.35
2,2,16384,27.16
2,2,32768,49.86
2,2,65536,16.78
2,2,131072,25.34
2,2,262144,54.07
2,2,524288,87.40
2,2,1048576,166.09
2,4,1,2.74
2,4,2,0.79
2,4,4,0.69
2,4,8,0.61
2,4,16,0.65
2,4,32,6.07
2,4,64,0.90
2,4,128,14.80
2,4,256,20.12
2,4,512,14.58
2,4,1024,15.13
2,4,2048,26.27
2,4,4096,48.30
2,4,8192,73.38
2,4,16384,15.23
2,4,32768,23.44
2,4,65536,41.39
2,4,131072,61.22
2,4,262144,105.19
2,4,524288,220.44
2,4,1048576,444.47
2,8,1,5.24
2,8,2,1.26
2,8,4,6.54
2,8,8,4.62
2,8,16,3.84
2,8,32,1.46
2,8,64,4.04
2,8,128,22.21
2,8,256,21.09
2,8,512,24.05
2,8,1024,35.59
2,8,2048,49.18
2,8,4096,61.79
2,8,8192,86.81
2,8,16384,40.97
2,8,32768,42.89
2,8,65536,65.92
2,8,131072,125.62
2,8,262144,227.91
2,8,524288,420.99
2,8,1048576,924.56
2,12,1,932.52
2,12,2,8.13
2,12,4,8.99
2,12,8,7.02
2,12,16,6.02
2,12,32,5.11
2,12,64,15.84
2,12,128,27.44
2,12,256,59.28
2,12,512,50.79
2,12,1024,58.18
2,12,2048,68.90
2,12,4096,89.06
2,12,8192,113.29
2,12,16384,43.03
2,12,32768,55.14
2,12,65536,90.35
2,12,131072,166.25
2,12,262144,288.33
2,12,524288,552.10
2,12,1048576,1110.15
2,16,1,6.99
2,16,2,2.30
2,16,4,26.19
2,16,8,16.85
2,16,16,2.00
2,16,32,14.45
2,16,64,3.43
2,16,128,36.36
2,16,256,35.02
2,16,512,43.06
2,16,1024,34.23
2,16,2048,79.92
2,16,4096,91.96
2,16,8192,133.83
2,16,16384,57.50
2,16,32768,84.56
2,16,65536,120.17
2,16,131072,217.24
2,16,262144,393.66
2,16,524288,760.51
2,16,1048576,1436.93
2,24,1,138.41
2,24,2,24.81
2,24,4,9.31
2,24,8,6.46
2,24,16,12.26
2,24,32,6.87
2,24,64,786.96
2,24,128,44.52
2,24,256,67.08
2,24,512,46.31
2,24,1024,65.99
2,24,2048,1252.56
2,24,4096,139.51
2,24,8192,174.61
2,24,16384,83.95
2,24,32768,131.30
2,24,65536,164.93
2,24,131072,296.63
2,24,262144,499.61
2,24,524288,941.29
2,24,1048576,1823.80
2,48,1,4258.82
2,48,2,11.98
2,48,4,68.87
2,48,8,19.37
2,48,16,18.82
2,48,32,20.15
2,48,64,9.97
2,48,128,87.50
2,48,256,516.43
2,48,512,92.99
2,48,1024,114.97
2,48,2048,1335.91
2,48,4096,184.97
2,48,8192,1238.25
2,48,16384,109.59
2,48,32768,116.46
2,48,65536,208.84
2,48,131072,321.07
2,48,262144,491.28
2,48,524288,958.08
2,48,1048576,17144.56
5,2,1,336.42
5,2,2,0.62
5,2,4,0.54
5,2,8,0.49
5,2,16,0.60
5,2,32,0.59
5,2,64,0.67
5,2,128,7.37
5,2,256,22.72
5,2,512,6.72
5,2,1024,6.80
5,2,2048,7.26
5,2,4096,20.26
5,2,8192,26.81
5,2,16384,11.57
5,2,32768,47.51
5,2,65536,16.11
5,2,131072,24.73
5,2,262144,42.07
5,2,524288,102.73
5,2,1048576,163.45
5,4,1,2.70
5,4,2,0.90
5,4,4,0.86
5,4,8,0.90
5,4,16,0.80
5,4,32,0.73
5,4,64,0.92
5,4,128,13.96
5,4,256,19.03
5,4,512,16.02
5,4,1024,27.06
5,4,2048,26.68
5,4,4096,53.57
5,4,8192,70.26
5,4,16384,21.66
5,4,32768,26.93
5,4,65536,45.05
5,4,131072,67.97
5,4,262144,130.76
5,4,524288,233.78
5,4,1048576,417.22
5,8,1,3.40
5,8,2,1.68
5,8,4,66.08
5,8,8,1.64
5,8,16,1.41
5,8,32,2.23
5,8,64,1.93
5,8,128,22.05
5,8,256,20.74
5,8,512,20.63
5,8,1024,41.04
5,8,2048,54.04
5,8,4096,63.97
5,8,8192,97.52
5,8,16384,38.54
5,8,32768,45.97
5,8,65536,72.98
5,8,131072,130.97
5,8,262144,237.91
5,8,524288,454.04
5,8,1048576,900.97
5,12,1,1344.97
5,12,2,5.05
5,12,4,9.36
5,12,8,7.34
5,12,16,6.44
5,12,32,5.27
5,12,64,19.50
5,12,128,33.51
5,12,256,84.94
5,12,512,63.51
5,12,1024,55.53
5,12,2048,75.95
5,12,4096,87.56
5,12,8192,124.64
5,12,16384,51.00
5,12,32768,58.39
5,12,65536,92.68
5,12,131072,186.40
5,12,262144,308.21
5,12,524288,566.50
5,12,1048576,1125.65
5,16,1,4.73
5,16,2,2.65
5,16,4,11.10
5,16,8,15.57
5,16,16,2.34
5,16,32,3.48
5,16,64,2.92
5,16,128,36.30
5,16,256,27.29
5,16,512,38.66
5,16,1024,39.32
5,16,2048,75.75
5,16,4096,92.59
5,16,8192,123.19
5,16,16384,52.74
5,16,32768,64.19
5,16,65536,110.54
5,16,131072,193.50
5,16,262144,356.95
5,16,524288,708.05
5,16,1048576,1329.92
5,24,1,1138.59
5,24,2,16.93
5,24,4,7.89
5,24,8,12.34
5,24,16,10.85
5,24,32,7.07
5,24,64,112.09
5,24,128,47.71
5,24,256,53.47
5,24,512,55.31
5,24,1024,52.85
5,24,2048,63.59
5,24,4096,120.36
5,24,8192,152.21
5,24,16384,72.77
5,24,32768,87.15
5,24,65536,138.05
5,24,131072,252.68
5,24,262144,464.83
5,24,524288,873.51
5,24,1048576,1642.42
5,48,1,2789.82
5,48,2,31.34
5,48,4,51.24
5,48,8,18.28
5,48,16,24.42
5,48,32,9.15
5,48,64,11.99
5,48,128,51.80
5,48,256,40.97
5,48,512,65.91
5,48,1024,67.94
5,48,2048,134.13
5,48,4096,127.21
5,48,8192,174.76
5,48,16384,108.18
5,48,32768,130.88
5,48,65536,198.21
5,48,131072,353.86
5,48,262144,652.50
5,48,524288,1288.02
5,48,1048576,2383.41
0,2,1,8.90
0,2,2,0.72
0,2,4,0.55
0,2,8,0.59
0,2,16,0.52
0,2,32,0.74
0,2,64,0.70
0,2,128,7.34
0,2,256,22.48
0,2,512,6.86
0,2,1024,7.08
0,2,2048,7.11
0,2,4096,20.39
0,2,8192,26.87
0,2,16384,84.25
0,2,32768,23.29
0,2,65536,16.86
0,2,131072,25.12
0,2,262144,45.75
0,2,524288,89.29
0,2,1048576,163.44
0,4,1,2.19
0,4,2,0.90
0,4,4,0.77
0,4,8,0.82
0,4,16,1.01
0,4,32,0.82
0,4,64,0.99
0,4,128,13.31
0,4,256,19.62
0,4,512,13.36
0,4,1024,13.43
0,4,2048,26.84
0,4,4096,51.88
0,4,8192,72.13
0,4,16384,83.97
0,4,32768,31.15
0,4,65536,45.68
0,4,131072,65.45
0,4,262144,136.52
0,4,524288,269.53
0,4,1048576,553.40
0,8,1,4.22
0,8,2,2.14
0,8,4,5.81
0,8,8,4.92
0,8,16,1.40
0,8,32,1.89
0,8,64,1.73
0,8,128,19.15
0,8,256,21.21
0,8,512,22.32
0,8,1024,31.75
0,8,2048,38.88
0,8,4096,64.88
0,8,8192,97.85
0,8,16384,35.79
0,8,32768,38.45
0,8,65536,67.75
0,8,131072,122.29
0,8,262144,250.68
0,8,524288,479.37
0,8,1048576,971.32
0,12,1,2007.50
0,12,2,4.81
0,12,4,9.63
0,12,8,7.58
0,12,16,13.91
0,12,32,4.80
0,12,64,3.67
0,12,128,27.64
0,12,256,66.04
0,12,512,33.88
0,12,1024,37.51
0,12,2048,62.61
0,12,4096,103.87
0,12,8192,108.27
0,12,16384,44.29
0,12,32768,60.88
0,12,65536,95.71
0,12,131072,187.81
0,12,262144,367.48
0,12,524288,730.70
0,12,1048576,1469.94
0,16,1,2.79
0,16,2,2.33
0,16,4,17.70
0,16,8,8.03
0,16,16,2.59
0,16,32,1.23
0,16,64,2.30
0,16,128,40.98
0,16,256,25.83
0,16,512,37.80
0,16,1024,32.92
0,16,2048,77.68
0,16,4096,82.77
0,16,8192,111.05
0,16,16384,45.72
0,16,32768,63.48
0,16,65536,108.82
0,16,131072,198.82
0,16,262144,375.08
0,16,524288,729.38
0,16,1048576,1790.74
0,24,1,524.78
0,24,2,8.02
0,24,4,6.73
0,24,8,6.13
0,24,16,10.11
0,24,32,6.64
0,24,64,32.19
0,24,128,56.17
0,24,256,807.67
0,24,512,40.90
0,24,1024,55.90
0,24,2048,68.28
0,24,4096,106.26
0,24,8192,129.69
0,24,16384,233.64
0,24,32768,90.55
0,24,65536,158.53
0,24,131072,286.01
0,24,262144,539.76
0,24,524288,1039.89
0,24,1048576,3352.42
0,48,1,136.77
0,48,2,22.67
0,48,4,5.75
0,48,8,12.87
0,48,16,34.86
0,48,32,7.52
0,48,64,11.10
0,48,128,40.93
0,48,256,34.88
0,48,512,46.79
0,48,1024,49.31
0,48,2048,84.52
0,48,4096,84.08
0,48,8192,110.95
0,48,16384,46.27
0,48,32768,67.67
0,48,65536,130.20
0,48,131072,224.59
0,48,262144,404.19
0,48,524288,805.13
0,48,1048576,1513.38
1,2,1,34.42
1,2,2,0.55
1,2,4,2.52
1,2,8,0.48
1,2,16,0.47
1,2,32,0.59
1,2,64,0.52
1,2,128,6.98
1,2,256,22.95
1,2,512,6.80
1,2,1024,7.14
1,2,2048,7.23
1,2,4096,28.26
1,2,8192,38.32
1,2,16384,58.98
1,2,32768,23.66
1,2,65536,18.66
1,2,131072,27.75
1,2,262144,45.35
1,2,524288,90.62
1,2,1048576,169.05
1,4,1,1.54
1,4,2,0.79
1,4,4,0.62
1,4,8,0.55
1,4,16,0.52
1,4,32,0.69
1,4,64,0.74
1,4,128,15.12
1,4,256,22.55
1,4,512,14.46
1,4,1024,19.56
1,4,2048,25.89
1,4,4096,44.66
1,4,8192,57.43
1,4,16384,91.51
1,4,32768,30.82
1,4,65536,45.19
1,4,131072,65.91
1,4,262144,135.67
1,4,524288,268.76
1,4,1048576,531.36
1,8,1,2.87
1,8,2,1.57
1,8,4,8.46
1,8,8,1.70
1,8,16,1.26
1,8,32,1.89
1,8,64,2.04
1,8,128,25.54
1,8,256,28.47
1,8,512,30.75
1,8,1024,58.04
1,8,2048,62.04
1,8,4096,78.10
1,8,8192,114.45
1,8,16384,32.46
1,8,32768,40.15
1,8,65536,68.29
1,8,131072,122.07
1,8,262144,243.62
1,8,524288,492.16
1,8,1048576,860.97
1,12,1,889.87
1,12,2,4.84
1,12,4,14.21
1,12,8,4.76
1,12,16,7.10
1,12,32,5.62
1,12,64,4.85
1,12,128,44.71
1,12,256,88.44
1,12,512,83.66
1,12,1024,69.82
1,12,2048,120.33
1,12,4096,122.69
1,12,8192,168.07
1,12,16384,44.75
1,12,32768,52.80
1,12,65536,97.19
1,12,131072,193.43
1,12,262144,431.63
1,12,524288,756.52
1,12,1048576,1427.72
1,16,1,2.98
1,16,2,2.90
1,16,4,22.16
1,16,8,17.49
1,16,16,2.90
1,16,32,1.28
1,16,64,2.95
1,16,128,62.53
1,16,256,49.29
1,16,512,76.50
1,16,1024,56.86
1,16,2048,124.20
1,16,4096,164.17
1,16,8192,204.84
1,16,16384,54.81
1,16,32768,73.55
1,16,65536,152.75
1,16,131072,264.84
1,16,262144,571.78
1,16,524288,1076.97
1,16,1048576,1990.08
1,24,1,117.82
1,24,2,35.57
1,24,4,10.38
1,24,8,5154.20
1,24,16,11.54
1,24,32,8.84
1,24,64,32.64
1,24,128,84.12
1,24,256,108.70
1,24,512,90.64
1,24,1024,111.06
1,24,2048,323.86
1,24,4096,230.51
1,24,8192,340.44
1,24,16384,66.68
1,24,32768,114.35
1,24,65536,209.84
1,24,131072,401.41
1,24,262144,893.46
1,24,524288,2122.58
1,24,1048576,3062.16
1,48,1,63.05
1,48,2,40.06
1,48,4,164.97
1,48,8,122.86
1,48,16,94.21
1,48,32,116.43
1,48,64,20.45
1,48,128,120.17
1,48,256,120.10
1,48,512,178.80
1,48,1024,182.40
1,48,2048,474.31
1,48,4096,348.61
1,48,8192,497.13
1,48,16384,99.02
1,48,32768,182.45
1,48,65536,328.00
1,48,131072,324.67
1,48,262144,617.49
1,48,524288,1396.47
1,48,1048576,2525.06
2,2,1,681.38
2,2,2,0.82
2,2,4,0.71
2,2,8,0.64
2,2,16,0.64
2,2,32,0.77
2,2,64,0.71
2,2,128,6.55
2,2,256,22.54
2,2,512,6.47
2,2,1024,6.75
2,2,2048,7.20
2,2,4096,30.80
2,2,8192,26.76
2,2,16384,11.74
2,2,32768,41.49
2,2,65536,16.17
2,2,131072,25.22
2,2,262144,42.65
2,2,524288,79.03
2,2,1048576,164.58
2,4,1,2.93
2,4,2,0.65
2,4,4,0.67
2,4,8,0.60
2,4,16,0.68
2,4,32,0.65
2,4,64,0.82
2,4,128,14.87
2,4,256,30.99
2,4,512,14.18
2,4,1024,25.47
2,4,2048,26.53
2,4,4096,47.25
2,4,8192,62.88
2,4,16384,13.48
2,4,32768,23.45
2,4,65536,43.37
2,4,131072,59.59
2,4,262144,110.15
2,4,524288,221.16
2,4,1048576,446.52
2,8,1,7.38
2,8,2,1.58
2,8,4,13.73
2,8,8,4.27
2,8,16,3.86
2,8,32,1.71
2,8,64,3.97
2,8,128,20.34
2,8,256,21.29
2,8,512,24.17
2,8,1024,35.47
2,8,2048,49.85
2,8,4096,62.99
2,8,8192,88.24
2,8,16384,46.55
2,8,32768,39.22
2,8,65536,66.89
2,8,131072,126.35
2,8,262144,224.54
2,8,524288,434.81
2,8,1048576,868.49
2,12,1,114.79
2,12,2,5.64
2,12,4,9.29
2,12,8,6.59
2,12,16,7.76
2,12,32,5.28
2,12,64,6.61
2,12,128,26.77
2,12,256,93.07
2,12,512,51.70
2,12,1024,45.16
2,12,2048,67.33
2,12,4096,180.91
2,12,8192,107.96
2,12,16384,44.34
2,12,32768,54.11
2,12,65536,93.24
2,12,131072,159.85
2,12,262144,298.82
2,12,524288,546.21
2,12,1048576,1093.80
2,16,1,6.35
2,16,2,1.99
2,16,4,17.87
2,16,8,16.68
2,16,16,53.57
2,16,32,17.16
2,16,64,3.73
2,16,128,37.85
2,16,256,41.10
2,16,512,43.53
2,16,1024,34.60
2,16,2048,79.14
2,16,4096,103.11
2,16,8192,188.15
2,16,16384,60.14
2,16,32768,74.66
2,16,65536,117.57
2,16,131072,218.86
2,16,262144,386.33
2,16,524288,760.41
2,16,1048576,1469.62
2,24,1,118.35
2,24,2,24.17
2,24,4,60.24
2,24,8,12.51
2,24,16,357.23
2,24,32,6.96
2,24,64,113.95
2,24,128,45.94
2,24,256,58.33
2,24,512,55.41
2,24,1024,62.47
2,24,2048,90.42
2,24,4096,145.95
2,24,8192,238.88
2,24,16384,646.93
2,24,32768,110.50
2,24,65536,163.99
2,24,131072,295.30
2,24,262144,479.99
2,24,524288,930.70
2,24,1048576,1849.73
2,48,1,3076.38
2,48,2,12.62
2,48,4,21.59
2,48,8,26.52
2,48,16,14.64
2,48,32,9.64
2,48,64,11.23
2,48,128,48.96
2,48,256,48.21
2,48,512,63.41
2,48,1024,72.42
2,48,2048,149.65
2,48,4096,144.10
2,48,8192,1173.51
2,48,16384,1902.24
2,48,32768,121.53
2,48,65536,167.15
2,48,131072,279.67
2,48,262144,501.21
2,48,524288,1057.53
2,48,1048576,1874.20
5,2,1,1390.31
5,2,2,0.63
5,2,4,0.62
5,2,8,0.56
5,2,16,0.62
5,2,32,0.70
5,2,64,0.74
5,2,128,6.70
5,2,256,64.02
5,2,512,7.05
5,2,1024,6.75
5,2,2048,7.12
5,2,4096,31.66
5,2,8192,26.89
5,2,16384,11.92
5,2,32768,39.54
5,2,65536,16.22
5,2,131072,25.14
5,2,262144,42.70
5,2,524288,79.77
5,2,1048576,163.04
5,4,1,5.32
5,4,2,0.84
5,4,4,1.17
5,4,8,0.81
5,4,16,0.90
5,4,32,4.58
5,4,64,0.88
5,4,128,13.42
5,4,256,13.28
5,4,512,13.39
5,4,1024,13.38
5,4,2048,26.84
5,4,4096,46.34
5,4,8192,62.04
5,4,16384,22.09
5,4,32768,28.28
5,4,65536,47.36
5,4,131072,67.21
5,4,262144,116.28
5,4,524288,230.34
5,4,1048576,419.54
5,8,1,7.55
5,8,2,2.01
5,8,4,5.72
5,8,8,1.74
5,8,16,1.45
5,8,32,2.57
5,8,64,1.77
5,8,128,22.30
5,8,256,21.12
5,8,512,20.83
5,8,1024,39.69
5,8,2048,52.92
5,8,4096,63.56
5,8,8192,93.02
5,8,16384,39.64
5,8,32768,43.71
5,8,65536,73.86
5,8,131072,170.04
5,8,262144,236.96
5,8,524288,457.55
5,8,1048576,904.97
5,12,1,1630.00
5,12,2,5.51
5,12,4,9.89
5,12,8,7.66
5,12,16,6.19
5,12,32,4.83
5,12,64,8.40
5,12,128,33.78
5,12,256,70.41
5,12,512,64.23
5,12,1024,54.70
5,12,2048,74.17
5,12,4096,88.50
5,12,8192,107.50
5,12,16384,46.71
5,12,32768,55.93
5,12,65536,93.59
5,12,131072,155.72
5,12,262144,298.36
5,12,524288,561.58
5,12,1048576,1131.48
5,16,1,5.47
5,16,2,3.29
5,16,4,10.81
5,16,8,16.31
5,16,16,15.99
5,16,32,3.74
5,16,64,2.89
5,16,128,36.09
5,16,256,26.01
5,16,512,51.51
5,16,1024,35.79
5,16,2048,75.11
5,16,4096,103.07
5,16,8192,121.56
5,16,16384,53.26
5,16,32768,67.05
5,16,65536,128.81
5,16,131072,193.39
5,16,262144,367.11
5,16,524288,707.53
5,16,1048576,1330.07
5,24,1,113.16
5,24,2,83.75
5,24,4,6.39
5,24,8,29.29
5,24,16,9.06
5,24,32,6.95
5,24,64,216.20
5,24,128,47.67
5,24,256,52.91
5,24,512,40.88
5,24,1024,52.56
5,24,2048,62.80
5,24,4096,119.04
5,24,8192,152.21
5,24,16384,69.38
5,24,32768,84.67
5,24,65536,139.38
5,24,131072,245.45
5,24,262144,471.86
5,24,524288,876.06
5,24,1048576,1650.75
5,48,1,3123.20
5,48,2,270.02
5,48,4,239.10
5,48,8,22.40
5,48,16,394.20
5,48,32,475.39
5,48,64,53.56
5,48,128,59.73
5,48,256,44.23
5,48,512,117.30
5,48,1024,90.65
5,48,2048,133.76
5,48,4096,127.95
5,48,8192,174.58
5,48,16384,93.98
5,48,32768,128.90
5,48,65536,194.28
5,48,131072,340.67
